"","unlist.correlation_by_variable."
"age",0.987986710306757
"class_of_worker",0.998277579819388
"detailed_industry_recode",0.999986227050917
"detailed_occupation_recode",0.999996856095388
"education",0.998251670266277
"wage_per_hour",0.999999994455119
"enroll_in_edu_inst_last_wk",0.999999017790738
"marital_stat",0.998906482022209
"major_industry_code",0.999985675839265
"major_occupation_code",0.999992391538386
"race",0.999783963048803
"hispanic_origin",0.999996350105741
"sex",1
"member_of_a_labor_union",0.999997909485943
"reason_for_unemployment",0.999999859938745
"full_or_part_time_employment_stat",NA
"capital_gains",0.999999998450483
"capital_losses",0.999999999264116
"dividends_from_stocks",0.999999993532894
"tax_filer_stat",0.998417241823505
"region_of_previous_residence",0.999976116777124
"state_of_previous_residence",0.999995165745346
"detailed_household_and_family_stat",0.999087323391321
"detailed_household_summary_in_household",0.999013084609242
"instance_weight",0.84489014729196
"migration_code.change_in_msa",0.999916845840264
"migration_code.change_in_reg",0.999994783837255
"migration_code.move_within_reg",0.999994715066353
"live_in_this_house_1_year_ago",0.99998818397043
"migration_prev_res_in_sunbelt",0.99996288370613
"num_persons_worked_for_employer",0.999787448029205
"family_members_under_18",0.999932953314641
"country_of_birth_father",0.999992031805707
"country_of_birth_mother",0.999992834365327
"country_of_birth_self",0.999998470446513
"citizenship",0.999997040671367
"own_business_or_self_employed",0.999999812730846
"fill_inc_questionnaire_for_veteran.s_admin",0.999999999962978
"veterans_benefits",0.999974950837703
"weeks_worked_in_year",0.999349583488323
"year",NA
"target",1
