"","x"
"1","Federal.government"
"2","Local.government"
"3","Never.worked"
"4","Not.in.universe"
"5","Private"
"6","Self.employed.incorporated"
"7","Self.employed.not.incorporated"
"8","State.government"
"9","Without.pay"
"10","0"
"11","1"
"12","10"
"13","11"
"14","12"
"15","13"
"16","14"
"17","15"
"18","16"
"19","17"
"20","18"
"21","19"
"22","2"
"23","20"
"24","21"
"25","22"
"26","23"
"27","24"
"28","25"
"29","26"
"30","27"
"31","28"
"32","29"
"33","3"
"34","30"
"35","31"
"36","32"
"37","33"
"38","34"
"39","35"
"40","36"
"41","37"
"42","38"
"43","39"
"44","4"
"45","40"
"46","41"
"47","42"
"48","43"
"49","44"
"50","45"
"51","46"
"52","47"
"53","48"
"54","49"
"55","5"
"56","50"
"57","51"
"58","6"
"59","7"
"60","8"
"61","9"
"62","0"
"63","1"
"64","10"
"65","11"
"66","12"
"67","13"
"68","14"
"69","15"
"70","16"
"71","17"
"72","18"
"73","19"
"74","2"
"75","20"
"76","21"
"77","22"
"78","23"
"79","24"
"80","25"
"81","26"
"82","27"
"83","28"
"84","29"
"85","3"
"86","30"
"87","31"
"88","32"
"89","33"
"90","34"
"91","35"
"92","36"
"93","37"
"94","38"
"95","39"
"96","4"
"97","40"
"98","41"
"99","42"
"100","43"
"101","44"
"102","45"
"103","46"
"104","5"
"105","6"
"106","7"
"107","8"
"108","9"
"109","10th.grade"
"110","11th.grade"
"111","12th.grade.no.diploma"
"112","1st.2nd.3rd.or.4th.grade"
"113","5th.or.6th.grade"
"114","7th.and.8th.grade"
"115","9th.grade"
"116","Associates.degree.academic.program"
"117","Associates.degree.occup..vocational"
"118","Bachelors.degree.BA.AB.BS."
"119","Children"
"120","Doctorate.degree.PhD.EdD."
"121","High.school.graduate"
"122","Less.than.1st.grade"
"123","Masters.degree.MA.MS.MEng.MEd.MSW.MBA."
"124","Prof.school.degree..MD.DDS.DVM.LLB.JD."
"125","Some.college.but.no.degree"
"126","College.or.university"
"127","High.school"
"128","Not.in.universe"
"129","Divorced"
"130","Married.A.F.spouse.present"
"131","Married.civilian.spouse.present"
"132","Married.spouse.absent"
"133","Never.married"
"134","Separated"
"135","Widowed"
"136","Agriculture"
"137","Armed.Forces"
"138","Business.and.repair.services"
"139","Communications"
"140","Construction"
"141","Education"
"142","Entertainment"
"143","Finance.insurance.and.real.estate"
"144","Forestry.and.fisheries"
"145","Hospital.services"
"146","Manufacturing.durable.goods"
"147","Manufacturing.nondurable.goods"
"148","Medical.except.hospital"
"149","Mining"
"150","Not.in.universe.or.children"
"151","Other.professional.services"
"152","Personal.services.except.private.HH"
"153","Private.household.services"
"154","Public.administration"
"155","Retail.trade"
"156","Social.services"
"157","Transportation"
"158","Utilities.and.sanitary.services"
"159","Wholesale.trade"
"160","Adm.support.including.clerical"
"161","Armed.Forces"
"162","Executive.admin.and.managerial"
"163","Farming.forestry.and.fishing"
"164","Handlers.equip.cleaners.etc"
"165","Machine.operators.assmblrs...inspctrs"
"166","Not.in.universe"
